video_id,stats_likes,stats_shares,stats_comments,stats_plays,video_length,nr_hashtags,nr_tags,leaning_new,label_new
6858710746700745990,18.0,,2.0,164.0,1.0,6,1,0.0,neutral
6844875652567420166,18.0,,1.0,136.0,1.0,1,1,0.0,neutral
6854673365769243909,18.0,,4.0,93.0,1.0,3,1,0.0,neutral
6863218081439796485,18.0,,3.0,242.0,1.0,1,1,0.0,neutral
6862464722311105798,18.0,,,139.0,1.0,9,1,-0.5,con
6858656749373689094,17.0,,4.0,164.0,1.0,1,1,0.0,neutral
6859208360349207813,17.0,,,131.0,1.0,1,1,0.0,neutral
6862592458480569605,17.0,,1.0,68.0,1.0,8,1,-1.5,con
6849018515417091334,17.0,,8.0,178.0,1.0,11,1,-0.5,con
6861343386595593477,17.0,,3.0,159.0,1.0,3,1,0.0,neutral
6866574239697210629,16.0,,5.0,152.0,1.0,5,1,0.0,neutral
6862022643743296774,16.0,,2.0,138.0,1.0,7,1,-0.5,con
6866051515241581830,16.0,,2.0,146.0,1.0,9,1,-0.5,con
6853105359620541701,16.0,,3.0,147.0,1.0,1,1,0.0,neutral
6858760312070393094,16.0,,5.0,148.0,1.0,6,1,-0.5,con
6863212658020175110,16.0,,3.0,98.0,1.0,1,1,0.0,neutral
6859829038169607430,16.0,,2.0,204.0,1.0,1,1,0.0,neutral
